station_name,avg_temp,rainfall,wind_speed,air_pressure
Chikkanahalli / Sadali,24.5101833,3.018329939,11.95784114,1011.120774
Chintamani / Sugut?ru,23.37177419,2.7625,12.47896505,1011.35168
Chitradurga,25.36899729,3.677150917,12.86131632,1010.567629
Chittorgarh,24.29496306,2.213498993,9.002753526,1009.354533
Churu,25.533003,2.006209503,9.150570853,1008.589053
Cochin / K?ladi,27.56349119,9.265547347,7.27780837,1009.256608
Cochin / Willingdon,27.01795154,7.693418402,9.082764317,1009.715474
Cochin Int. Airport / K?ladi,26.3714207,10.20490262,6.972356828,1009.744493
Coimbatore,26.88688347,3.047412587,11.31755137,1010.934885
Coimbatore / Peelamedu,26.98688347,3.047412587,11.31755137,1010.934885
Contai,26.11007388,4.656883815,13.70053727,1008.011283
Cooch Behar,25.5935046,11.31462054,6.93143049,1008.725789
Coonoor,16.92103495,5.266196237,6.619959677,1014.637702
Cuddalore,28.47969639,7.046433439,12.21307847,1008.828236
Cuddapah,28.22182673,2.500134318,12.08643385,1009.006246
Cuttack,26.99033568,6.002807316,8.438826391,1008.026955
Cwc Vishakhapatnam / Waltair,27.58961194,4.320961718,11.58458512,1008.477958
Dahanu,26.86642042,5.164204164,14.72437878,1008.870248
Daltonganj,25.91349727,5.575249004,5.868174847,1008.278144
Daman,27.17926094,5.508144796,18.25950226,1008.854299
Daman / Dam?n,27.07926094,5.508144796,18.25950226,1008.854299
Damoh,24.85594359,3.386971122,8.592209537,1008.846676
Darbhanga,24.33646743,3.882672935,9.762726662,1008.17777
Darjeeling,13.50357906,10.97118959,4.25213533,1012.996395
Datia,26.31745478,4.019553073,8.917595702,1008.613096
Davangere / SM Krishna Ext.,25.32491605,3.162256548,12.25701813,1010.540766
Deesa,28.29823551,3.52472108,9.038079248,1008.643318
Dehradun,21.78571816,7.874572739,4.818175721,1008.75882
Dehradun / R?ni Pokhri,22.18604336,6.340266778,6.211133467,1010.1611
Dehri,25.8404908,3.13404908,8.940184049,1008.103681
Dhar,24.54231028,3.139959704,11.31148422,1009.878778
Dharmapuri,26.03420699,3.190524194,10.50551075,1010.102621
Dharmpur,16.26568784,5.78218313,5.392478173,1012.64184
Dharmsala,16.61579301,5.631048387,4.848454301,1016.855847
Dharwad,24.31853593,2.956749496,12.82021491,1010.747952
Dhubri,25.61636846,10.07264553,8.195705521,1008.723236
Dhubri Rupsi,25.01189529,12.20676763,8.024616564,1008.695552
Diamond Harbour,26.23089322,4.702686367,7.437609134,1008.180054
Dibrugarh / Mohanbari,24.74453167,8.549306297,6.255331992,1009.408059
Digha,26.41302888,4.6435863,11.37172599,1008.00094
Diu,27.29563465,2.476091336,18.99422431,1009.004433
Durg,25.7838818,3.65963734,8.23062458,1008.59953
Dwarka,26.80020908,4.050057208,16.77568838,1009.267764
Erinpura / Jawai Dam Site,25.41846877,1.711417058,10.15439893,1008.934385
Forbesganj,24.01128274,5.294895903,9.201276024,1008.344124
Fort Cochin,27.01795154,7.693418402,9.082764317,1009.715474
Fursatganj / R?e Bareli,24.92357287,2.967427804,9.490530557,1008.300604
Gadag,25.63185265,3.091161731,11.28603089,1009.527804
Gandhinagar,27.8061551,4.695727483,8.619382864,1008.587144
Ganganagar,24.95999455,1.545588235,6.576427132,1008.502821
Gangtok,13.54466085,11.14882471,3.83062458,1012.334587
Gauhati,25.27999459,7.127941176,4.102171986,1009.090067
Gaya,25.41035705,3.176481258,7.017902646,1008.312298
Ghazipur,25.18297546,3.234892638,9.254141104,1008.041794
Goa / Dabolim Airport,27.59558624,12.3312632,9.884985113,1009.336251
Goa / Panjim,27.59685892,12.49281791,11.46877924,1009.357229
Goalpara,24.05352586,10.09026192,7.361517797,1008.557287
Golaghat,23.50927914,7.440107362,5.560736196,1009.094939
Gondia,28.11222791,5.927369956,7.596104768,1008.658093
Gopalpur,26.96697522,5.091018565,12.86158496,1008.111148
